"Isolate_ID","Study","Source","Host","Country","Year","Serovar","Sequence_Type","Enterobase_ID"
"U154s","Wild Birds (This study)","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"U2616s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"6CT.9","Other isolates","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"U2617s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT0.163","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"5CT0.006","Other isolates","Supermarket environment","Environment","NA","NA","NA","NA","NA"
"U793s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT.189","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U2072s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT0.149","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT0.158","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"2CT0.109","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"U2618s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"G12A","Other isolates","Human","Homo sapiens","NA","NA","NA","NA","NA"
"G15A","Other isolates","Human","Homo sapiens","NA","NA","NA","NA","NA"
"2CT0.117","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"U5290s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U744s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT0.157","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"3CT0.019","Other isolates","Supermarket environment","Environment","NA","NA","NA","NA","NA"
"6CT.10","Other isolates","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"U2449s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"4CT0.015","Other isolates","Supermarket environment","Environment","NA","NA","NA","NA","NA"
"U2619s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT0.182","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"3CT0.020","Other isolates","Supermarket environment","Environment","NA","NA","NA","NA","NA"
"CN-Y-11","Wild Birds (This study)","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"6CT0.006","Other isolates","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"6CTO.7","Other isolates","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"2CT.121","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"2CT.123","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"G13A","Other isolates","Human","Homo sapiens","NA","NA","NA","NA","NA"
"1CT0.162","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"2CT0.081","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"1CT0.180","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U1860s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U845s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U824s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT.193","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U2620s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT.192","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT.214","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U2406s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U2137s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U2106s (b)","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U792s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"1CT.210","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U5291s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U026s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U2491s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"3CT0.029","Other isolates","Supermarket environment","Environment","NA","NA","NA","NA","NA"
"U2615s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U732s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U5289s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U825s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"2CT0.086","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"U2614s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U168s","Wild Birds (This study)","Wild Bird","Aquatic birds","NA","NA","NA","NA","NA"
"1CT0.118","Other isolates","Layers","Gallus gallus","NA","NA","NA","NA","NA"
"U842s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"2CT0.084","Other isolates","Pigs","Sus scrofa","NA","NA","NA","NA","NA"
"G3A","Other isolates","Human","Homo sapiens","NA","NA","NA","NA","NA"
"U019s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U796s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
"U5288s","Other isolates","Broilers","Gallus gallus","NA","NA","NA","NA","NA"
